term?nullable?firstset?followset
start?False?"'bool','int','float','extern','void'"?""
program?False?"'bool','int','float','extern','void'"?"EOF"
extern_list?False?"'extern'"?"'bool','float','int','void'"
extern_list1?True?"epsilon,'extern'"?"'bool','float','int','void'"
extern?False?"'extern'"?"'int','bool','float','extern','void'"
decl_list?False?"'float','int','void','bool'"?"EOF"
decl_list1?True?"epsilon,'bool','float','int','void'"?"EOF"
decl?False?"'bool','float','int','void'"?"'bool','float','int',EOF,'void'"
var_decl?False?"'float','int','bool'"?"'bool','float','int',EOF,'void'"
type_spec?False?"'bool','float','int','void'"?"IDENT"
var_type?False?"'float','int','bool'"?"IDENT"
fun_decl?False?"'bool','float','int','void'"?"'bool','float','int',EOF,'void'"
params?True?"epsilon,'bool','float','int','void'"?"')'"
param_list?False?"'float','int','bool'"?"')'"
param_list1?True?"epsilon,','"?"')'"
param?False?"'float','int','bool'"?"')',','"
block?False?"'{'"?"';','-','else',BOOL_LIT,INT_LIT,IDENT,'{','}','float','while','return','void','bool','int',FLOAT_LIT,'!','if','+',EOF,'('"
local_decls?True?"epsilon,'bool','float','int'"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','!','if','+','while','(','return'"
local_decl?False?"'float','int','bool'"?"';','-','if',BOOL_LIT,INT_LIT,IDENT,'{','+','while','return','bool',FLOAT_LIT,'!','float','int','('"
stmt_list?True?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{',epsilon,'!','if','+','while','(','return'"?"'}'"
stmt?False?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','!','if','+','while','(','return'"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','}','!','if','+','while','(','return'"
expr_stmt?False?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','}','!','if','+','while','(','return'"
while_stmt?False?"'while'"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','}','!','if','+','while','(','return'"
if_stmt?False?"'if'"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','}','!','if','+','while','(','return'"
else_stmt?True?"'else',epsilon"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','}','!','if','+','while','(','return'"
return_stmt?False?"'return'"?"';','-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'{','}','!','if','+','while','(','return'"
expr?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval_lf?True?"epsilon,'||'"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval1?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval1_lf?True?"epsilon,'&&'"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval2?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval2_lf?True?"'!=',epsilon,'=='"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval3?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval3_lf?True?"'<',epsilon,'>=','>','<='"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval4?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval4_lf?True?"'-','+',epsilon"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval5?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval5_lf?True?"'%',epsilon,'*','/'"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval6?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
rval7?False?"BOOL_LIT,INT_LIT,'-','+',FLOAT_LIT,'(',IDENT"?"';','%',')','<','!=','*','-','/','==','||','>=','>','&&','<=','+',','"
args?True?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,epsilon,'!','+','('"?"')'"
arg_list?False?"'-',FLOAT_LIT,BOOL_LIT,INT_LIT,IDENT,'!','+','('"?"')'"
arg_list1?True?"epsilon,','"?"')'"
epsilon?True?""?"N/A"
'('?False?"'('"?"N/A"
')'?False?"')'"?"N/A"
'{'?False?"'{'"?"N/A"
'}'?False?"'}'"?"N/A"
';'?False?"';'"?"N/A"
','?False?"','"?"N/A"
'+'?False?"'+'"?"N/A"
'-'?False?"'-'"?"N/A"
'*'?False?"'*'"?"N/A"
'/'?False?"'/'"?"N/A"
'%'?False?"'%'"?"N/A"
'<'?False?"'<'"?"N/A"
'>'?False?"'>'"?"N/A"
'!'?False?"'!'"?"N/A"
'='?False?"'='"?"N/A"
'<='?False?"'<='"?"N/A"
'>='?False?"'>='"?"N/A"
'=='?False?"'=='"?"N/A"
'!='?False?"'!='"?"N/A"
'||'?False?"'||'"?"N/A"
'&&'?False?"'&&'"?"N/A"
'extern'?False?"'extern'"?"N/A"
'if'?False?"'if'"?"N/A"
'else'?False?"'else'"?"N/A"
'while'?False?"'while'"?"N/A"
'return'?False?"'return'"?"N/A"
'void'?False?"'void'"?"N/A"
'int'?False?"'int'"?"N/A"
'float'?False?"'float'"?"N/A"
'bool'?False?"'bool'"?"N/A"
BOOL_LIT?False?"BOOL_LIT"?"N/A"
INT_LIT?False?"INT_LIT"?"N/A"
FLOAT_LIT?False?"FLOAT_LIT"?"N/A"
IDENT?False?"IDENT"?"N/A"
EOF?False?"EOF"?"N/A"
