term?nullable?firstset?followset
start?False?"'void','extern','float','bool','int'"?""
program?False?"'void','extern','float','bool','int'"?"EOF"
extern_list?False?"'extern'"?"'void','bool','int','float'"
extern_list1?True?"'extern',epsilon"?"'void','bool','int','float'"
extern?False?"'extern'"?"'void','extern','float','bool','int'"
decl_list?False?"'void','bool','int','float'"?"EOF"
decl_list1?True?"'void',epsilon,'float','bool','int'"?"EOF"
decl?False?"'void','float','bool','int'"?"'void','float','bool','int',EOF"
var_decl?False?"'bool','int','float'"?"'void','float','bool','int',EOF"
type_spec?False?"'void','bool','int','float'"?"IDENT"
var_type?False?"'bool','int','float'"?"IDENT"
fun_decl?False?"'void','bool','int','float'"?"'void','float','bool','int',EOF"
params?True?"'void',epsilon,'float','bool','int'"?"')'"
param_list?False?"'bool','int','float'"?"')'"
param_list1?True?"',',epsilon"?"')'"
param?False?"'bool','int','float'"?"',',')'"
block?False?"'{'"?"'-',BOOL_LIT,';',INT_LIT,'{','while','int','(','void','}','!','else','float','return',EOF,'if','bool',IDENT,FLOAT_LIT"
local_decls?True?"epsilon,'float','bool','int'"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'{','!','while',FLOAT_LIT,'if'"
local_decl?False?"'bool','int','float'"?"'(','-','float',BOOL_LIT,'bool',IDENT,';','return',INT_LIT,'{','!','while',FLOAT_LIT,'if','int'"
stmt_list?True?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'{','!','while',epsilon,FLOAT_LIT,'if'"?"'}'"
stmt?False?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'{','!','while',FLOAT_LIT,'if'"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'}','{','!','while',FLOAT_LIT,'if'"
expr_stmt?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,';',INT_LIT"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'}','{','!','while',FLOAT_LIT,'if'"
while_stmt?False?"'while'"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'}','{','!','while',FLOAT_LIT,'if'"
if_stmt?False?"'if'"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'}','{','!','while',FLOAT_LIT,'if'"
else_stmt?True?"'else',epsilon"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'}','{','!','while',FLOAT_LIT,'if'"
return_stmt?False?"'return'"?"'(','-',BOOL_LIT,IDENT,';','return',INT_LIT,'}','{','!','while',FLOAT_LIT,'if'"
expr?False?"'(','-',BOOL_LIT,IDENT,INT_LIT,'!',FLOAT_LIT"?"',',';',')'"
rval?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"',',';',')'"
rval_lf?True?"'||',epsilon"?"',',';',')'"
rval1?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'||',',',';',')'"
rval1_lf?True?"'&&',epsilon"?"'||',',',';',')'"
rval2?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'&&','||',',',';',')'"
rval2_lf?True?"epsilon,'!=','=='"?"'&&','||',',',';',')'"
rval3?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'&&','||','!=',',',';','==',')'"
rval3_lf?True?"'<',epsilon,'<=','>=','>'"?"'&&','||','!=',',',';','==',')'"
rval4?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'&&','||','!=',',',';','>','<','<=','==','>=',')'"
rval4_lf?True?"'+',epsilon,'-'"?"'&&','||','!=',',',';','>','<','<=','==','>=',')'"
rval5?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'&&','||','!=','-',',',';','>','<','<=','+','==','>=',')'"
rval5_lf?True?"'*',epsilon,'%','/'"?"'&&','||','!=','-',',',';','>','<','<=','+','==','>=',')'"
rval6?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'&&','-',',',';','>','<','+','>=','||','!=','%','/','*','<=','==',')'"
rval7?False?"'(',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"'&&','-',',',';','>','<','+','>=','||','!=','%','/','*','<=','==',')'"
args?True?"'(','-',BOOL_LIT,IDENT,INT_LIT,'!',epsilon,FLOAT_LIT"?"')'"
arg_list?False?"'(','!','-',BOOL_LIT,FLOAT_LIT,IDENT,INT_LIT"?"')'"
arg_list1?True?"',',epsilon"?"')'"
epsilon?True?""?"N/A"
'('?False?"'('"?"N/A"
')'?False?"')'"?"N/A"
'{'?False?"'{'"?"N/A"
'}'?False?"'}'"?"N/A"
';'?False?"';'"?"N/A"
','?False?"','"?"N/A"
'+'?False?"'+'"?"N/A"
'-'?False?"'-'"?"N/A"
'*'?False?"'*'"?"N/A"
'/'?False?"'/'"?"N/A"
'%'?False?"'%'"?"N/A"
'<'?False?"'<'"?"N/A"
'>'?False?"'>'"?"N/A"
'!'?False?"'!'"?"N/A"
'='?False?"'='"?"N/A"
'<='?False?"'<='"?"N/A"
'>='?False?"'>='"?"N/A"
'=='?False?"'=='"?"N/A"
'!='?False?"'!='"?"N/A"
'||'?False?"'||'"?"N/A"
'&&'?False?"'&&'"?"N/A"
'extern'?False?"'extern'"?"N/A"
'if'?False?"'if'"?"N/A"
'else'?False?"'else'"?"N/A"
'while'?False?"'while'"?"N/A"
'return'?False?"'return'"?"N/A"
'void'?False?"'void'"?"N/A"
'int'?False?"'int'"?"N/A"
'float'?False?"'float'"?"N/A"
'bool'?False?"'bool'"?"N/A"
BOOL_LIT?False?"BOOL_LIT"?"N/A"
INT_LIT?False?"INT_LIT"?"N/A"
FLOAT_LIT?False?"FLOAT_LIT"?"N/A"
IDENT?False?"IDENT"?"N/A"
EOF?False?"EOF"?"N/A"
